Имя,Цена
TATASTEEL,142.55
M&M,"1,807.95"
HDFCLIFE,634.95
BHARTIARTL,"1,225.00"
NTPC,317.10
APOLLOHOSP,"5,997.75"
INDUSINDBK,"1,487.25"
WIPRO,518.00
COALINDIA,416.00
HCLTECH,"1,649.90"
RELIANCE,"2,840.00"
BRITANNIA,"4,980.00"
DRREDDY,"6,292.10"
LTIM,"5,200.00"
ONGC,258.95
TATACONSUM,"1,213.05"
CIPLA,"1,489.00"
SUNPHARMA,"1,548.25"
POWERGRID,265.95
JSWSTEEL,780.65
TATAMOTORS,945.85
DIVISLAB,"3,485.40"
LT,"3,537.15"
BPCL,586.45
NESTLEIND,"2,603.65"
BAJFINANCE,"6,514.35"
TECHM,"1,282.00"
EICHERMOT,"3,745.00"
ITC,419.00
UPL,475.00
BAJAJFINSV,"1,570.95"
KOTAKBANK,"1,737.40"
ASIANPAINT,"2,866.00"
ULTRACEMCO,"9,625.00"
BAJAJ-AUTO,"8,343.00"
TCS,"4,215.25"
HINDALCO,532.00
AXISBANK,"1,044.00"
INFY,"1,630.00"
HINDUNILVR,"2,320.80"
MARUTI,"11,436.65"
HDFCBANK,"1,447.00"
TITAN,"3,619.00"
SBILIFE,"1,493.00"
ICICIBANK,"1,075.05"
HEROMOTOCO,"4,560.50"
SBIN,727.10
GRASIM,"2,181.00"
ADANIPORTS,"1,250.00"
ADANIENT,"3,050.10"
